Country,Gini coefficient(World_bank)%,DataYear(World_bank),Gini coefficient(CIA)%,DataYear(CIA)
South Africa,63%,2014,63%,2014
Namibia,59.10%,2015,59.10%,2015
Colombia,54.80%,2022,54.80%,2022
Eswatini,54.60%,2016,54.60%,2016
Botswana,53.30%,2015,53.30%,2015
Brazil,52%,2022,52%,2022
Zambia,51.50%,2022,51.50%,2022
Angola,51.30%,2018,51.30%,2018
Mozambique,50.30%,2019,50.50%,2019
Zimbabwe,50.30%,2019,50.30%,2020
Republic of the Congo,48.90%,2011,-,
Panama,48.90%,2023,48.90%,2023
Guatemala,48.30%,2014,48.30%,2014
Honduras,48.20%,2019,48.20%,2019
Costa Rica,46.70%,2023,47.20%,2022
Nicaragua,46.20%,2014,46.20%,2014
Comoros,45.30%,2014,45.30%,2014
Paraguay,45.10%,2022,45.10%,2022
Guyana,45%,1998,-,
Lesotho,44.90%,2017,44.90%,2017
DR Congo,44.70%,2020,44.70%,2020
Venezuela,44.70%,2006,-,
Ecuador,44.60%,2023,45.50%,2022
Turkey,44.40%,2021,44.40%,2021
South Sudan,44.10%,2016,44.10%,2016
Grenada,43.80%,2018,43.80%,2018
Rwanda,43.70%,2016,43.70%,2016
Saint Lucia,43.70%,2015,51.20%,2016
Mexico,43.50%,2022,43.50%,2022
Ghana,43.50%,2016,43.50%,2016
Chile,43%,2022,43%,2022
Central African Republic,43%,2021,43%,2021
Uganda,42.70%,2019,42.70%,2019
Madagascar,42.60%,2012,-,
Cameroon,42.20%,2021,42.20%,2021
Papua New Guinea,41.90%,2009,-,
Djibouti,41.60%,2017,41.60%,2017
United States,41.30%,2022,39.80%,2021
Haiti,41.10%,2012,-,
Bolivia,40.90%,2021,40.90%,2021
Turkmenistan,40.80%,1998,-,
Philippines,40.70%,2021,40.70%,2021
Argentina,40.70%,2022,40.70%,2022
Malaysia,40.70%,2021,40.70%,2021
Sao Tome and Principe,40.70%,2017,40.70%,2017
Uruguay,40.60%,2022,40.60%,2022
Tanzania,40.50%,2018,40.50%,2018
Peru,40.30%,2022,40.30%,2022
Jamaica,40.20%,2021,40.20%,2021
Trinidad and Tobago,40.20%,1992,-,
Micronesia,40.10%,2013,-,
Morocco,39.50%,2013,-,
Suriname,39.20%,2022,39.20%,2022
Tuvalu,39.10%,2010,-,
Bulgaria,39%,2021,39%,2021
Laos,38.80%,2018,38.80%,2018
El Salvador,38.80%,2022,38.80%,2022
Gambia,38.80%,2020,38.80%,2020
Kenya,38.70%,2021,38.70%,2021
Malawi,38.50%,2019,38.50%,2019
Gabon,38%,2017,38%,2017
Togo,37.90%,2021,37.90%,2021
Israel,37.90%,2021,37.90%,2021
Sri Lanka,37.70%,2019,37.70%,2019
Burundi,37.50%,2020,37.50%,2020
Burkina Faso,37.40%,2021,37.40%,2021
Chad,37.40%,2022,37.40%,2022
Solomon Islands,37.10%,2012,-,
Dominican Republic,37%,2022,37%,2022
Mauritius,36.80%,2017,36.80%,2017
Yemen,36.70%,2014,36.70%,2014
Lithuania,36.70%,2021,36.70%,2021
Senegal,36.20%,2021,36.20%,2021
Indonesia,36.10%,2023,38.30%,2023
Vietnam,36.10%,2022,36.10%,2022
China,35.70%,2021,37.10%,2020
Mali,35.70%,2021,35.70%,2021
Sierra Leone,35.70%,2018,35.70%,2018
Marshall Islands,35.50%,2019,35.50%,2019
Liberia,35.30%,2016,35.30%,2016
Nigeria,35.10%,2018,35.10%,2018
Russia,35.10%,2021,36%,2020
Qatar,35.10%,2017,-,
Ethiopia,35%,2015,35%,2015
Thailand,34.90%,2021,34.90%,2021
Iran,34.80%,2022,34.80%,2022
Italy,34.80%,2021,34.80%,2021
Portugal,34.60%,2021,34.60%,2021
Benin,34.40%,2021,34.40%,2021
Australia,34.30%,2018,34.30%,2018
Latvia,34.30%,2021,34.30%,2021
Montenegro,34.30%,2021,34.30%,2021
Sudan,34.20%,2014,34.20%,2014
Tajikistan,34%,2015,34%,2015
Spain,33.90%,2021,33.90%,2021
Romania,33.90%,2021,33.90%,2021
Tunisia,33.70%,2021,33.70%,2021
Jordan,33.70%,2010,-,
Switzerland,33.70%,2020,33.70%,2020
Palestine,33.70%,2016,33.70%,2016
Georgia,33.50%,2022,34.20%,2021
North Macedonia,33.50%,2019,33.50%,2019
Bangladesh,33.40%,2022,33.40%,2021
Guinea-Bissau,33.40%,2021,33.40%,2021
Serbia,33.10%,2021,33.10%,2021
Bosnia and Herzegovina,33%,2011,-,
Japan,32.90%,2013,-,
South Korea,32.90%,2021,31.40%,2016
Niger,32.90%,2021,32.90%,2021
Greece,32.90%,2021,32.90%,2021
India,32.80%,2021,32.80%,2021
Luxembourg,32.70%,2021,32.70%,2021
Germany,32.40%,2020,31.70%,2019
United Kingdom,32.40%,2021,32.40%,2021
Nauru,32.40%,2012,-,
Vanuatu,32.30%,2019,32.30%,2019
Seychelles,32.10%,2018,32.10%,2018
Mauritania,32%,2019,32%,2019
Egypt,31.90%,2019,31.90%,2019
Estonia,31.80%,2021,31.80%,2021
Canada,31.70%,2019,31.70%,2019
France,31.50%,2021,31.50%,2021
Mongolia,31.40%,2022,31.40%,2022
Malta,31.40%,2020,31.40%,2020
Cyprus,31.30%,2021,31.30%,2021
Uzbekistan,31.20%,2022,31.20%,2022
Myanmar,30.70%,2017,30.70%,2017
Austria,30.70%,2021,30.70%,2021
Fiji,30.70%,2019,30.70%,2019
Ireland,30.10%,2021,30.10%,2021
Sweden,29.80%,2021,29.80%,2021
Pakistan,29.60%,2018,29.60%,2018
Guinea,29.60%,2018,29.60%,2018
Iraq,29.50%,2012,-,
Albania,29.40%,2020,29.40%,2020
Maldives,29.30%,2019,29.30%,2019
Kazakhstan,29.20%,2021,29.20%,2021
Hungary,29.20%,2021,29.20%,2021
Croatia,28.90%,2021,28.90%,2021
Timor-Leste,28.70%,2014,28.70%,2014
Poland,28.50%,2021,28.50%,2021
Bhutan,28.50%,2022,28.50%,2022
Denmark,28.30%,2021,28.30%,2021
Armenia,27.90%,2022,27.90%,2022
Kiribati,27.80%,2019,27.80%,2019
Finland,27.70%,2021,27.70%,2021
Norway,27.70%,2019,27.70%,2019
Algeria,27.60%,2011,-,
Tonga,27.10%,2021,27.10%,2021
Syria,26.60%,2022,26.60%,2022
Belgium,26.60%,2021,26.60%,2021
United Arab Emirates,26.40%,2018,26%,2018
Kyrgyzstan,26.40%,2022,28.80%,2021
Czech Republic,26.20%,2021,26.20%,2021
Iceland,26.10%,2017,26.10%,2017
Netherlands,25.70%,2021,25.70%,2021
Moldova,25.70%,2021,25.70%,2021
Ukraine,25.60%,2020,25.60%,2020
Belarus,24.40%,2020,24.40%,2020
Slovenia,24.30%,2021,24.30%,2021
Slovakia,24.10%,2021,24.10%,2021
Afghanistan,-,,-,
Saudi Arabia,-,,-,
Ivory Coast,-,,35.30%,2021
Nepal,-,,-,
North Korea,-,,-,
Taiwan,-,,33.60%,2014
Somalia,-,,36.80%,2017
Cambodia,-,,-,
Cuba,-,,-,
Azerbaijan,-,,-,
Libya,-,,-,
Hong Kong,-,,53.90%,2016
Singapore,-,,45.90%,2017
Lebanon,-,,-,
Oman,-,,-,
New Zealand,-,,-,
Kuwait,-,,-,
Eritrea,-,,-,
Puerto Rico,-,,-,
Equatorial Guinea,-,,-,
Bahrain,-,,-,
Reunion,-,,-,
Macau,-,,-,
Western Sahara,-,,-,
Cape Verde,-,,42.40%,2015
Brunei,-,,-,
Belize,-,,-,
Bahamas,-,,-,
Guadeloupe,-,,-,
Martinique,-,,-,
Mayotte,-,,-,
French Guiana,-,,-,
New Caledonia,-,,-,
Barbados,-,,-,
French Polynesia,-,,-,
Samoa,-,,-,
Curacao,-,,-,
Guam,-,,-,
Aruba,-,,-,
Jersey,-,,0.30%,2014
Saint Vincent and the Grenadines,-,,-,
Antigua and Barbuda,-,,-,
United States Virgin Islands,-,,-,
Isle of Man,-,,-,
Andorra,-,,-,
Cayman Islands,-,,-,
Dominica,-,,-,
Bermuda,-,,-,
Guernsey,-,,-,
Faroe Islands,-,,-,
Greenland,-,,33.90%,2015
Saint Kitts and Nevis,-,,-,
Turks and Caicos Islands,-,,-,
American Samoa,-,,-,
Sint Maarten,-,,-,
Northern Mariana Islands,-,,-,
Liechtenstein,-,,-,
Gibraltar,-,,-,
British Virgin Islands,-,,-,
Monaco,-,,-,
San Marino,-,,-,
Saint Martin,-,,-,
Palau,-,,-,
Anguilla,-,,-,
Cook Islands,-,,-,
Saint Barthelemy,-,,-,
Wallis and Futuna,-,,-,
Saint Pierre and Miquelon,-,,-,
Montserrat,-,,-,
Falkland Islands,-,,36%,2015
Tokelau,-,,-,
Niue,-,,-,
Vatican City,-,,-,
