Country,2025pop,Area(km),Density,Change%,Global_pop%,Rank
India,"1,46,38,70,000",3.3M,492,0.89%,18.29%,1
China,"1,41,61,00,000",9.7M,150,-0.23%,17.69%,2
United States,"34,72,76,000",9.4M,38,0.54%,4.34%,3
Indonesia,"28,57,21,000",1.9M,152,0.79%,3.57%,4
Pakistan,"25,52,20,000",881.9K,331,1.57%,3.19%,5
Nigeria,"23,75,28,000",923.8K,261,2.08%,2.97%,6
Brazil,"21,28,12,000",8.5M,25,0.38%,2.66%,7
Bangladesh,"17,56,87,000",147.6K,"1,350",1.22%,2.19%,8
Russia,"14,39,97,000",17.1M,9,-0.57%,1.80%,9
Ethiopia,"13,54,72,000",1.1M,120,2.58%,1.69%,10
Mexico,"13,19,47,000",2M,68,0.83%,1.65%,11
Japan,"12,31,03,000",377.9K,338,-0.53%,1.54%,12
Egypt,"11,83,66,000",1M,119,1.57%,1.48%,13
Philippines,"11,67,87,000",342.4K,392,0.81%,1.46%,14
DR Congo,"11,28,32,000",2.3M,50,3.25%,1.41%,15
Vietnam,"10,15,99,000",331.2K,324,0.61%,1.27%,16
Iran,"9,24,17,700",1.6M,57,0.93%,1.15%,17
Turkey,"8,76,85,400",783.6K,112,0.24%,1.10%,18
Germany,"8,40,75,100",357.1K,241,-0.56%,1.05%,19
Thailand,"7,16,19,900",513.1K,140,-0.07%,0.89%,20
Tanzania,"7,05,45,900",945.1K,80,2.90%,0.88%,21
United Kingdom,"6,95,51,300",242.9K,287,0.60%,0.87%,22
France,"6,66,50,800",551.7K,122,0.15%,0.83%,23
South Africa,"6,47,47,300",1.2M,53,1.16%,0.81%,24
Italy,"5,91,46,300",301.3K,200,-0.33%,0.74%,25
Kenya,"5,75,32,500",580.4K,101,1.95%,0.72%,26
Myanmar,"5,48,50,600",676.6K,84,0.64%,0.69%,27
Colombia,"5,34,25,600",1.1M,48,1.02%,0.67%,28
South Korea,"5,16,67,000",100.2K,529,-0.10%,0.65%,29
Sudan,"5,16,62,100",1.9M,28,2.40%,0.65%,30
Uganda,"5,13,84,900",241.6K,256,2.74%,0.64%,31
Spain,"4,78,90,000",506K,96,-0.04%,0.60%,32
Algeria,"4,74,35,300",2.4M,20,1.33%,0.59%,33
Iraq,"4,70,20,800",438.3K,108,2.13%,0.59%,34
Argentina,"4,58,51,400",2.8M,17,0.34%,0.57%,35
Afghanistan,"4,38,44,100",652.2K,67,2.81%,0.55%,36
Yemen,"4,17,73,900",528K,79,2.93%,0.52%,37
Canada,"4,01,26,700",10M,4,0.97%,0.50%,38
Angola,"3,90,40,000",1.2M,31,3.05%,0.49%,39
Ukraine,"3,89,80,400",603.5K,67,2.96%,0.49%,40
Morocco,"3,84,30,800",446.6K,86,0.92%,0.48%,41
Poland,"3,81,40,900",312.7K,125,-1.03%,0.48%,42
Uzbekistan,"3,70,53,400",447.4K,84,1.90%,0.46%,43
Malaysia,"3,59,77,800",330.8K,110,1.18%,0.45%,44
Mozambique,"3,56,31,700",801.6K,45,2.89%,0.45%,45
Ghana,"3,50,64,300",238.5K,154,1.85%,0.44%,46
Peru,"3,45,76,700",1.3M,27,1.05%,0.43%,47
Saudi Arabia,"3,45,66,300",2.1M,16,1.78%,0.43%,48
Madagascar,"3,27,40,700",587K,56,2.43%,0.41%,49
Ivory Coast,"3,27,11,500",322.5K,103,2.43%,0.41%,50
Cameroon,"2,98,79,300",475.4K,63,2.59%,0.37%,51
Nepal,"2,96,18,100",147.2K,207,-0.11%,0.37%,52
Venezuela,"2,85,16,900",916.4K,32,0.39%,0.36%,53
Niger,"2,79,17,800",1.3M,22,3.28%,0.35%,54
Australia,"2,69,74,000",7.7M,4,0.98%,0.34%,55
North Korea,"2,65,71,000",120.5K,221,0.27%,0.33%,56
Syria,"2,56,20,400",185.2K,140,3.84%,0.32%,57
Mali,"2,51,98,800",1.2M,21,2.94%,0.31%,58
Burkina Faso,"2,40,74,600",273K,88,2.23%,0.30%,59
Sri Lanka,"2,32,29,500",65.6K,376,0.54%,0.29%,60
Taiwan,"2,31,12,800",36.2K,639,-0.44%,0.29%,61
Malawi,"2,22,16,100",118.5K,236,2.59%,0.28%,62
Zambia,"2,19,13,900",752.6K,29,2.81%,0.27%,63
Chad,"2,10,03,700",1.3M,17,3.47%,0.26%,64
Kazakhstan,"2,08,43,800",2.7M,8,1.22%,0.26%,65
Chile,"1,98,59,900",756.1K,27,0.48%,0.25%,66
Somalia,"1,96,54,700",637.7K,31,3.40%,0.25%,67
Senegal,"1,89,32,000",196.7K,98,2.32%,0.24%,68
Romania,"1,89,08,600",238.4K,82,-0.56%,0.24%,69
Guatemala,"1,86,87,900",108.9K,174,1.53%,0.23%,70
Netherlands,"1,83,46,800",41.9K,545,0.65%,0.23%,71
Ecuador,"1,82,89,900",276.8K,74,0.85%,0.23%,72
Cambodia,"1,78,48,000",181K,101,1.19%,0.22%,73
Zimbabwe,"1,69,50,800",390.8K,44,1.90%,0.21%,74
Guinea,"1,50,99,700",245.9K,61,2.34%,0.19%,75
Benin,"1,48,14,500",112.6K,131,2.43%,0.19%,76
Rwanda,"1,45,69,300",26.3K,591,2.19%,0.18%,77
Burundi,"1,43,90,000",27.8K,560,2.44%,0.18%,78
Bolivia,"1,25,81,800",1.1M,12,1.36%,0.16%,79
Tunisia,"1,23,48,600",163.6K,79,0.58%,0.15%,80
South Sudan,"1,21,88,800",619.7K,19,2.05%,0.15%,81
Haiti,"1,19,06,100",27.8K,432,1.13%,0.15%,82
Belgium,"1,17,58,600",30.5K,388,0.17%,0.15%,83
Jordan,"1,15,20,700",89.3K,130,-0.28%,0.14%,84
Dominican Republic,"1,15,20,500",48.7K,238,0.81%,0.14%,85
United Arab Emirates,"1,13,46,000",83.6K,160,2.89%,0.14%,86
Honduras,"1,10,05,800",112.5K,98,1.66%,0.14%,87
Cuba,"1,09,37,200",109.9K,105,-0.39%,0.14%,88
Tajikistan,"1,07,86,700",143.1K,78,1.85%,0.13%,89
Papua New Guinea,"1,07,62,800",462.8K,24,1.76%,0.13%,90
Sweden,"1,06,56,600",450.3K,26,0.47%,0.13%,91
Czech Republic,"1,06,09,200",78.9K,137,-1.18%,0.13%,92
Portugal,"1,04,11,800",92.1K,114,-0.13%,0.13%,93
Azerbaijan,"1,03,97,700",86.6K,126,0.59%,0.13%,94
Greece,"99,38,840",132K,77,-1.08%,0.12%,95
Togo,"97,21,610",56.8K,179,2.17%,0.12%,96
Hungary,"96,32,290",93K,106,-0.45%,0.12%,97
Israel,"95,17,180",20.8K,440,1.39%,0.12%,98
Austria,"91,13,570",83.9K,110,-0.08%,0.11%,99
Belarus,"89,97,600",207.6K,44,-0.65%,0.11%,100
Switzerland,"89,67,410",41.3K,227,0.51%,0.11%,101
Sierra Leone,"88,19,790",71.7K,122,2.06%,0.11%,102
Laos,"78,73,050",236.8K,34,1.33%,0.10%,103
Turkmenistan,"76,18,850",488.1K,16,1.66%,0.10%,104
Libya,"74,58,560",1.8M,4,1.05%,0.09%,105
Hong Kong,"73,96,080",1.1K,"7,044",-0.25%,0.09%,106
Kyrgyzstan,"72,95,030",200K,38,1.52%,0.09%,107
Paraguay,"70,13,080",406.8K,18,1.21%,0.09%,108
Nicaragua,"70,07,500",130.4K,58,1.32%,0.09%,109
Bulgaria,"67,14,560",110.9K,62,-0.64%,0.08%,110
Serbia,"66,89,040",88.4K,76,-0.70%,0.08%,111
Republic of the Congo,"64,84,440",342K,19,2.39%,0.08%,112
El Salvador,"63,65,500",21K,307,0.43%,0.08%,113
Denmark,"60,02,510",43.1K,150,0.42%,0.07%,114
Singapore,"58,70,750",710,"8,177",0.66%,0.07%,115
Lebanon,"58,49,420",10.5K,572,0.75%,0.07%,116
Liberia,"57,31,210",111.4K,60,2.11%,0.07%,117
Finland,"56,23,330",338.4K,19,0.11%,0.07%,118
Norway,"56,23,070",323.8K,15,0.83%,0.07%,119
Palestine,"55,89,620",6.2K,929,1.71%,0.07%,120
Central African Republic,"55,13,280",623K,9,3.43%,0.07%,121
Oman,"54,94,690",309.5K,18,4.04%,0.07%,122
Slovakia,"54,74,880",49K,112,-0.58%,0.07%,123
Mauritania,"53,15,060",1M,5,2.82%,0.07%,124
Ireland,"53,08,040",70.3K,77,1.01%,0.07%,125
New Zealand,"52,51,900",270.5K,20,0.73%,0.07%,126
Costa Rica,"51,52,950",51.1K,101,0.45%,0.06%,127
Kuwait,"50,26,080",17.8K,282,1.86%,0.06%,128
Panama,"45,71,190",75.4K,62,1.23%,0.06%,129
Croatia,"38,48,160",56.6K,69,-0.70%,0.05%,130
Georgia,"38,06,670",69.7K,55,-0.03%,0.05%,131
Eritrea,"36,07,000",117.6K,30,2.02%,0.05%,132
Mongolia,"35,17,100",1.6M,2,1.20%,0.04%,133
Uruguay,"33,84,690",181K,19,-0.06%,0.04%,134
Puerto Rico,"32,35,290",8.9K,365,-0.21%,0.04%,135
Bosnia and Herzegovina,"31,40,100",51.2K,61,-0.76%,0.04%,136
Qatar,"31,15,890",11.6K,271,2.21%,0.04%,137
Namibia,"30,92,820",825.6K,4,2.07%,0.04%,138
Moldova,"29,96,110",33.8K,91,-1.28%,0.04%,139
Armenia,"29,52,360",29.7K,104,-0.72%,0.04%,140
Jamaica,"28,37,080",11K,262,-0.07%,0.04%,141
Lithuania,"28,30,140",65.3K,45,-1.01%,0.04%,142
Gambia,"28,22,090",10.7K,279,2.25%,0.04%,143
Albania,"27,71,510",28.7K,101,-0.73%,0.03%,144
Gabon,"25,93,130",267.7K,10,2.13%,0.03%,145
Botswana,"25,62,120",582K,5,1.63%,0.03%,146
Lesotho,"23,63,320",30.4K,78,1.11%,0.03%,147
Guinea-Bissau,"22,49,520",36.1K,80,2.19%,0.03%,148
Slovenia,"21,17,070",20.3K,105,-0.08%,0.03%,149
Equatorial Guinea,"19,38,430",28.1K,69,2.43%,0.02%,150
Latvia,"18,53,560",64.6K,30,-0.98%,0.02%,151
North Macedonia,"18,13,790",25.7K,72,-0.51%,0.02%,152
Bahrain,"16,43,330",765,"2,093",2.26%,0.02%,153
Trinidad and Tobago,"15,11,160",5.1K,295,0.22%,0.02%,154
Timor-Leste,"14,18,520",14.9K,95,1.28%,0.02%,155
Cyprus,"13,70,750",9.3K,148,0.92%,0.02%,156
Estonia,"13,44,230",45.2K,31,-1.20%,0.02%,157
Mauritius,"12,68,280",2K,625,-0.23%,0.02%,158
Eswatini,"12,56,170",17.4K,73,1.07%,0.02%,159
Djibouti,"11,84,080",23.2K,51,1.31%,0.01%,160
Fiji,"9,33,154",18.3K,51,0.47%,0.01%,161
Comoros,"8,82,847",1.9K,474,1.87%,0.01%,162
Reunion,"8,82,405",2.5K,351,0.43%,0.01%,163
Solomon Islands,"8,38,645",28.9K,30,2.37%,0.01%,164
Guyana,"8,35,986",215K,4,0.59%,0.01%,165
Bhutan,"7,96,682",38.4K,21,0.65%,0.01%,166
Macau,"7,22,007",33,"21,946",0.24%,0.01%,167
Luxembourg,"6,80,453",2.6K,264,1.10%,0.01%,168
Suriname,"6,39,850",163.8K,4,0.85%,0.01%,169
Montenegro,"6,32,729",13.8K,47,-0.90%,0.01%,170
Western Sahara,"6,00,904",266K,2,1.76%,0.01%,171
Malta,"5,45,405",316,"1,704",1.07%,0.01%,172
Maldives,"5,29,676",300,"1,766",0.36%,0.01%,173
Cape Verde,"5,27,326",4K,131,0.47%,0.01%,174
Brunei,"4,66,330",5.8K,88,0.78%,0.01%,175
Belize,"4,22,924",23K,19,1.40%,0.01%,176
Bahamas,"4,03,033",13.9K,40,0.44%,0.01%,177
Iceland,"3,98,266",103K,4,1.24%,< 0.01%,178
Guadeloupe,"3,73,791",1.6K,230,-0.35%,< 0.01%,179
Martinique,"3,40,439",1.1K,302,-0.80%,< 0.01%,180
Mayotte,"3,37,011",374,901,3.22%,< 0.01%,181
Vanuatu,"3,35,169",12.2K,27,2.26%,< 0.01%,182
French Guiana,"3,13,666",83.5K,4,1.67%,< 0.01%,183
New Caledonia,"2,95,333",18.6K,16,0.92%,< 0.01%,184
Barbados,"2,82,623",430,657,0.06%,< 0.01%,185
French Polynesia,"2,82,465",4.2K,81,0.23%,< 0.01%,186
Sao Tome and Principe,"2,40,254",964,250,2%,< 0.01%,187
Samoa,"2,19,306",2.8K,79,0.59%,< 0.01%,188
Curacao,"1,85,487",444,418,0%,< 0.01%,189
Saint Lucia,"1,80,149",616,295,0.23%,< 0.01%,190
Guam,"1,68,999",549,313,0.73%,< 0.01%,191
Kiribati,"1,36,488",811,169,1.46%,< 0.01%,192
Seychelles,"1,32,779",452,289,1.81%,< 0.01%,193
Grenada,"1,17,303",344,345,0.08%,< 0.01%,194
Micronesia,"1,13,683",702,162,0.46%,< 0.01%,195
Aruba,"1,08,147",180,601,0.07%,< 0.01%,196
Jersey,"1,03,989",116,867,0.14%,< 0.01%,197
Tonga,"1,03,742",747,144,-0.42%,< 0.01%,198
Saint Vincent and the Grenadines,"99,924",389,256,-0.69%,< 0.01%,199
Antigua and Barbuda,"94,209",442,214,0.47%,< 0.01%,200
United States Virgin Islands,"84,138",347,242,-0.90%,< 0.01%,201
Isle of Man,"84,118",572,148,-0.05%,< 0.01%,202
Andorra,"82,904",468,176,1.18%,< 0.01%,203
Cayman Islands,"75,844",264,316,1.86%,< 0.01%,204
Dominica,"65,871",751,88,-0.50%,< 0.01%,205
Bermuda,"64,555",54,"1,195",-0.13%,< 0.01%,206
Guernsey,"64,477",78,"1,023",0.31%,< 0.01%,207
Faroe Islands,"56,002",1.4K,41,1.09%,< 0.01%,208
Greenland,"55,745",2.2M,0.14,-0.17%,< 0.01%,209
Saint Kitts and Nevis,"46,922",261,180,0.17%,< 0.01%,210
Turks and Caicos Islands,"46,855",948,49,0.69%,< 0.01%,211
American Samoa,"46,029",199,230,-1.57%,< 0.01%,212
Sint Maarten,"43,923",34,"1,292",1.32%,< 0.01%,213
Northern Mariana Islands,"43,541",464,95,-1.66%,< 0.01%,214
Liechtenstein,"40,128",160,251,0.65%,< 0.01%,215
Gibraltar,"40,126",7,"5,901",2.03%,< 0.01%,216
British Virgin Islands,"39,732",151,265,0.66%,< 0.01%,217
Monaco,"38,341",2,"19,171",-0.75%,< 0.01%,218
Marshall Islands,"36,282",181,202,-3.37%,< 0.01%,219
San Marino,"33,572",61,560,-0.03%,< 0.01%,220
Saint Martin,"24,941",53,499,-4.55%,< 0.01%,221
Palau,"17,663",459,38,-0.18%,< 0.01%,222
Anguilla,"14,728",91,162,0.89%,< 0.01%,223
Cook Islands,"13,263",240,55,-3.39%,< 0.01%,224
Nauru,"12,025",21,601,0.65%,< 0.01%,225
Saint Barthelemy,"11,414",21,457,1.39%,< 0.01%,226
Wallis and Futuna,"11,194",274,41,-0.74%,< 0.01%,227
Tuvalu,"9,492",26,316,-1.60%,< 0.01%,228
Saint Pierre and Miquelon,"5,574",242,23,-0.96%,< 0.01%,229
Montserrat,"4,359",102,43,-0.68%,< 0.01%,230
Falkland Islands,"3,469",12.2K,0.28,-0.03%,< 0.01%,231
Tokelau,"2,608",12,261,4.07%,< 0.01%,232
Niue,"1,821",261,7,0.11%,< 0.01%,233
Vatican City,501,< 1,"1,139",1.01%,< 0.01%,234
