Country,Rank,GDP(IMF'24),GDP(UN'22),GDP PER CAPITAL,Population
United States,1,$28.78 Tn,$25.74 Tn,"$82,877","34,72,76,000"
China,2,$18.53 Tn,$17.96 Tn,"$13,087","1,41,61,00,000"
Germany,3,$4.59 Tn,$4.08 Tn,"$54,607","8,40,75,100"
Japan,4,$4.11 Tn,$4.23 Tn,"$33,390","12,31,03,000"
India,5,$3.94 Tn,$3.47 Tn,"$2,689","1,46,38,70,000"
United Kingdom,6,$3.50 Tn,$3.09 Tn,"$50,254","6,95,51,300"
France,7,$3.13 Tn,$2.78 Tn,"$46,961","6,66,50,800"
Brazil,8,$2.33 Tn,$1.92 Tn,"$10,955","21,28,12,000"
Italy,9,$2.33 Tn,$2.05 Tn,"$39,361","5,91,46,300"
Canada,10,$2.24 Tn,$2.14 Tn,"$55,878","4,01,26,700"
Russia,11,$2.06 Tn,$2.24 Tn,"$14,284","14,39,97,000"
Mexico,12,$2.02 Tn,$1.46 Tn,"$15,287","13,19,47,000"
Australia,13,$1.79 Tn,$1.78 Tn,"$66,373","2,69,74,000"
South Korea,14,$1.76 Tn,$1.67 Tn,"$34,083","5,16,67,000"
Spain,15,$1.65 Tn,$1.42 Tn,"$34,394","4,78,90,000"
Indonesia,16,$1.48 Tn,$1.32 Tn,"$5,165","28,57,21,000"
Netherlands,17,$1.14 Tn,$1.01 Tn,"$62,273","1,83,46,800"
Turkey,18,$1.11 Tn,$907.12 Bn,"$12,699","8,76,85,400"
Saudi Arabia,19,$1.11 Tn,$1.11 Tn,"$31,997","3,45,66,300"
Switzerland,20,$938.46 Bn,$818.43 Bn,"$104,652","89,67,410"
Poland,21,$844.62 Bn,$688.13 Bn,"$22,145","3,81,40,900"
Taiwan,22,$802.96 Bn,$0,"$34,741","2,31,12,800"
Belgium,23,$655.19 Bn,$582.64 Bn,"$55,720","1,17,58,600"
Sweden,24,$623.05 Bn,$591.19 Bn,"$58,466","1,06,56,600"
Argentina,25,$604.26 Bn,$631.13 Bn,"$13,179","4,58,51,400"
Ireland,26,$564.02 Bn,$532.42 Bn,"$106,258","53,08,040"
Thailand,27,$548.89 Bn,$495.34 Bn,"$7,664","7,16,19,900"
Austria,28,$540.89 Bn,$470.30 Bn,"$59,350","91,13,570"
Israel,29,$530.66 Bn,$525.00 Bn,"$55,759","95,17,180"
United Arab Emirates,30,$527.80 Bn,$507.06 Bn,"$46,518","1,13,46,000"
Norway,31,$526.95 Bn,$579.42 Bn,"$93,712","56,23,070"
Singapore,32,$525.23 Bn,$466.79 Bn,"$89,465","58,70,750"
Philippines,33,$471.52 Bn,$404.28 Bn,"$4,037","11,67,87,000"
Vietnam,34,$465.81 Bn,$408.80 Bn,"$4,585","10,15,99,000"
Iran,35,$464.18 Bn,$398.05 Bn,"$5,023","9,24,17,700"
Bangladesh,36,$455.16 Bn,$432.68 Bn,"$2,591","17,56,87,000"
Malaysia,37,$445.52 Bn,$406.31 Bn,"$12,383","3,59,77,800"
Denmark,38,$409.99 Bn,$400.17 Bn,"$68,303","60,02,510"
Hong Kong,39,$406.77 Bn,$359.84 Bn,"$54,999","73,96,080"
Colombia,40,$386.08 Bn,$343.94 Bn,"$7,226","5,34,25,600"
South Africa,41,$373.23 Bn,$405.27 Bn,"$5,764","6,47,47,300"
Romania,42,$369.97 Bn,$300.69 Bn,"$19,566","1,89,08,600"
Egypt,43,$347.59 Bn,$409.31 Bn,"$2,937","11,83,66,000"
Chile,44,$333.76 Bn,$300.69 Bn,"$16,806","1,98,59,900"
Czech Republic,45,$325.88 Bn,$290.53 Bn,"$30,717","1,06,09,200"
Finland,46,$308.06 Bn,$282.51 Bn,"$54,782","56,23,330"
Portugal,47,$298.95 Bn,$254.85 Bn,"$28,713","1,04,11,800"
Kazakhstan,48,$296.74 Bn,$225.50 Bn,"$14,236","2,08,43,800"
Peru,49,$282.46 Bn,$242.63 Bn,"$8,169","3,45,76,700"
Algeria,50,$266.78 Bn,$191.91 Bn,"$5,624","4,74,35,300"
Iraq,51,$265.89 Bn,$264.18 Bn,"$5,655","4,70,20,800"
New Zealand,52,$257.63 Bn,$245.84 Bn,"$49,054","52,51,900"
Nigeria,53,$252.74 Bn,$475.06 Bn,"$1,064","23,75,28,000"
Greece,54,$250.28 Bn,$217.29 Bn,"$25,182","99,38,840"
Qatar,55,$244.69 Bn,$237.10 Bn,"$78,528","31,15,890"
Hungary,56,$223.41 Bn,$177.34 Bn,"$23,194","96,32,290"
Ethiopia,57,$205.13 Bn,$118.97 Bn,"$1,514","13,54,72,000"
Ukraine,58,$188.94 Bn,$160.50 Bn,"$4,847","3,89,80,400"
Kuwait,59,$160.40 Bn,$175.36 Bn,"$31,913","50,26,080"
Morocco,60,$152.38 Bn,$130.91 Bn,"$3,965","3,84,30,800"
Slovakia,61,$140.81 Bn,$115.31 Bn,"$25,719","54,74,880"
Dominican Republic,62,$127.36 Bn,$113.54 Bn,"$11,055","1,15,20,500"
Ecuador,63,$121.59 Bn,$115.05 Bn,"$6,648","1,82,89,900"
Puerto Rico,64,$117.76 Bn,$113.44 Bn,"$36,400","32,35,290"
Guatemala,65,$110.03 Bn,$95.00 Bn,"$5,888","1,86,87,900"
Oman,66,$108.93 Bn,$114.67 Bn,"$19,824","54,94,690"
Bulgaria,67,$107.93 Bn,$90.21 Bn,"$16,074","67,14,560"
Kenya,68,$104.00 Bn,$113.42 Bn,"$1,808","5,75,32,500"
Venezuela,69,$102.33 Bn,$129.31 Bn,"$3,588","2,85,16,900"
Uzbekistan,70,$97.96 Bn,$80.39 Bn,"$2,644","3,70,53,400"
Costa Rica,71,$96.06 Bn,$68.38 Bn,"$18,641","51,52,950"
Angola,72,$92.12 Bn,$113.31 Bn,"$2,360","3,90,40,000"
Luxembourg,73,$88.56 Bn,$81.53 Bn,"$130,143","6,80,453"
Croatia,74,$88.08 Bn,$71.55 Bn,"$22,888","38,48,160"
Panama,75,$87.35 Bn,$76.52 Bn,"$19,108","45,71,190"
Ivory Coast,76,$86.91 Bn,$70.02 Bn,"$2,657","3,27,11,500"
Uruguay,77,$82.61 Bn,$71.17 Bn,"$24,405","33,84,690"
Turkmenistan,78,$81.90 Bn,$67.01 Bn,"$10,749","76,18,850"
Serbia,79,$81.87 Bn,$63.56 Bn,"$12,240","66,89,040"
Lithuania,80,$81.17 Bn,$70.88 Bn,"$28,681","28,30,140"
Tanzania,81,$79.61 Bn,$0,"$1,128","7,05,45,900"
Azerbaijan,82,$78.75 Bn,$78.72 Bn,"$7,574","1,03,97,700"
Ghana,83,$75.24 Bn,$73.77 Bn,"$2,146","3,50,64,300"
DR Congo,84,$73.76 Bn,$62.55 Bn,$654,"11,28,32,000"
Slovenia,85,$72.10 Bn,$59.98 Bn,"$34,057","21,17,070"
Belarus,86,$69.05 Bn,$72.87 Bn,"$7,674","89,97,600"
Myanmar,87,$68.01 Bn,$65.21 Bn,"$1,240","5,48,50,600"
Uganda,88,$56.31 Bn,$48.24 Bn,"$1,096","5,13,84,900"
Tunisia,89,$54.71 Bn,$46.18 Bn,"$4,430","1,23,48,600"
Macau,90,$54.68 Bn,$24.04 Bn,"$75,729","7,22,007"
Jordan,91,$53.57 Bn,$47.45 Bn,"$4,650","1,15,20,700"
Cameroon,92,$53.20 Bn,$44.34 Bn,"$1,781","2,98,79,300"
Bolivia,93,$49.33 Bn,$44.01 Bn,"$3,921","1,25,81,800"
Libya,94,$48.22 Bn,$40.54 Bn,"$6,465","74,58,560"
Bahrain,95,$46.79 Bn,$44.38 Bn,"$28,473","16,43,330"
Paraguay,96,$45.82 Bn,$41.72 Bn,"$6,533","70,13,080"
Latvia,97,$45.47 Bn,$40.88 Bn,"$24,529","18,53,560"
Cambodia,98,$45.15 Bn,$29.50 Bn,"$2,530","1,78,48,000"
Nepal,99,$44.18 Bn,$39.41 Bn,"$1,492","2,96,18,100"
Estonia,100,$43.49 Bn,$38.05 Bn,"$32,350","13,44,230"
Honduras,101,$37.35 Bn,$31.72 Bn,"$3,394","1,10,05,800"
Senegal,102,$35.45 Bn,$27.78 Bn,"$1,872","1,89,32,000"
El Salvador,103,$35.33 Bn,$32.49 Bn,"$5,551","63,65,500"
Zimbabwe,104,$34.41 Bn,$26.42 Bn,"$2,030","1,69,50,800"
Cyprus,105,$34.22 Bn,$29.21 Bn,"$24,965","13,70,750"
Iceland,106,$33.34 Bn,$28.06 Bn,"$83,708","3,98,266"
Georgia,107,$32.87 Bn,$24.61 Bn,"$8,634","38,06,670"
Papua New Guinea,108,$31.72 Bn,$31.61 Bn,"$2,947","1,07,62,800"
Zambia,109,$29.87 Bn,$29.14 Bn,"$1,363","2,19,13,900"
Bosnia and Herzegovina,110,$29.08 Bn,$24.47 Bn,"$9,260","31,40,100"
Trinidad and Tobago,111,$28.36 Bn,$30.05 Bn,"$18,770","15,11,160"
Sudan,112,$26.86 Bn,$36.73 Bn,$520,"5,16,62,100"
Guinea,113,$25.45 Bn,$20.85 Bn,"$1,685","1,50,99,700"
Albania,114,$25.43 Bn,$18.92 Bn,"$9,176","27,71,510"
Armenia,115,$25.41 Bn,$19.51 Bn,"$8,606","29,52,360"
Haiti,116,$24.05 Bn,$18.75 Bn,"$2,020","1,19,06,100"
Mozambique,117,$22.98 Bn,$18.41 Bn,$645,"3,56,31,700"
Malta,118,$22.74 Bn,$18.10 Bn,"$41,688","5,45,405"
Mongolia,119,$21.94 Bn,$17.15 Bn,"$6,239","35,17,100"
Burkina Faso,120,$21.90 Bn,$19.18 Bn,$910,"2,40,74,600"
Mali,121,$21.66 Bn,$18.83 Bn,$860,"2,51,98,800"
Botswana,122,$21.42 Bn,$20.35 Bn,"$8,359","25,62,120"
Benin,123,$21.37 Bn,$17.40 Bn,"$1,443","1,48,14,500"
Guyana,124,$21.18 Bn,$14.72 Bn,"$25,333","8,35,986"
Gabon,125,$21.01 Bn,$20.13 Bn,"$8,103","25,93,130"
Jamaica,126,$20.10 Bn,$17.10 Bn,"$7,084","28,37,080"
Nicaragua,127,$18.83 Bn,$15.67 Bn,"$2,687","70,07,500"
Niger,128,$18.82 Bn,$15.41 Bn,$674,"2,79,17,800"
Chad,129,$18.70 Bn,$16.80 Bn,$890,"2,10,03,700"
Moldova,130,$18.36 Bn,$14.51 Bn,"$6,127","29,96,110"
Yemen,131,$16.94 Bn,$11.01 Bn,$406,"4,17,73,900"
Madagascar,132,$16.46 Bn,$14.96 Bn,$503,"3,27,40,700"
Mauritius,133,$16.36 Bn,$12.90 Bn,"$12,899","12,68,280"
North Macedonia,134,$15.87 Bn,$13.71 Bn,"$8,751","18,13,790"
Brunei,135,$15.51 Bn,$16.68 Bn,"$33,260","4,66,330"
Republic of the Congo,136,$15.50 Bn,$15.34 Bn,"$2,390","64,84,440"
Laos,137,$15.19 Bn,$15.36 Bn,"$1,929","78,73,050"
Bahamas,138,$14.39 Bn,$12.90 Bn,"$35,704","4,03,033"
Rwanda,139,$13.70 Bn,$13.31 Bn,$940,"1,45,69,300"
Kyrgyzstan,140,$13.60 Bn,$10.93 Bn,"$1,864","72,95,030"
Tajikistan,141,$12.95 Bn,$10.49 Bn,"$1,201","1,07,86,700"
Somalia,142,$12.80 Bn,$10.42 Bn,$651,"1,96,54,700"
Namibia,143,$12.77 Bn,$12.61 Bn,"$4,127","30,92,820"
Malawi,144,$11.24 Bn,$12.56 Bn,$506,"2,22,16,100"
Equatorial Guinea,145,$10.71 Bn,$11.77 Bn,"$5,524","19,38,430"
Mauritania,146,$10.63 Bn,$11.00 Bn,"$2,000","53,15,060"
Togo,147,$9.83 Bn,$8.09 Bn,"$1,011","97,21,610"
Montenegro,148,$8.01 Bn,$6.23 Bn,"$12,661","6,32,729"
Maldives,149,$7.20 Bn,$6.17 Bn,"$13,591","5,29,676"
Barbados,150,$6.86 Bn,$5.70 Bn,"$24,283","2,82,623"
South Sudan,151,$6.52 Bn,$4.62 Bn,$535,"1,21,88,800"
Fiji,152,$5.80 Bn,$4.98 Bn,"$6,217","9,33,154"
Eswatini,153,$5.08 Bn,$4.33 Bn,"$4,048","12,56,170"
Liberia,154,$4.75 Bn,$3.27 Bn,$829,"57,31,210"
Sierra Leone,155,$4.56 Bn,$3.48 Bn,$517,"88,19,790"
Djibouti,156,$4.36 Bn,$4.00 Bn,"$3,686","11,84,080"
Suriname,157,$4.34 Bn,$3.62 Bn,"$6,778","6,39,850"
Aruba,158,$4.07 Bn,$3.54 Bn,"$37,625","1,08,147"
Andorra,159,$3.90 Bn,$3.38 Bn,"$47,006","82,904"
Belize,160,$3.30 Bn,$2.83 Bn,"$7,793","4,22,924"
Bhutan,161,$3.11 Bn,$2.90 Bn,"$3,904","7,96,682"
Burundi,162,$3.08 Bn,$4.03 Bn,$214,"1,43,90,000"
Central African Republic,163,$2.81 Bn,$2.40 Bn,$510,"55,13,280"
Cape Verde,164,$2.72 Bn,$2.31 Bn,"$5,154","5,27,326"
Gambia,165,$2.69 Bn,$2.23 Bn,$955,"28,22,090"
Saint Lucia,166,$2.58 Bn,$2.17 Bn,"$14,333","1,80,149"
Lesotho,167,$2.40 Bn,$2.29 Bn,"$1,013","23,63,320"
Seychelles,168,$2.20 Bn,$1.99 Bn,"$16,591","1,32,779"
Guinea-Bissau,169,$2.15 Bn,$1.57 Bn,$956,"22,49,520"
Antigua and Barbuda,170,$2.13 Bn,$1.77 Bn,"$22,577","94,209"
San Marino,171,$2.03 Bn,$1.78 Bn,"$60,586","33,572"
Timor-Leste,172,$1.99 Bn,$3.20 Bn,"$1,404","14,18,520"
Solomon Islands,173,$1.71 Bn,$1.60 Bn,"$2,035","8,38,645"
Comoros,174,$1.42 Bn,$1.25 Bn,"$1,611","8,82,847"
Grenada,175,$1.41 Bn,$1.19 Bn,"$11,986","1,17,303"
Vanuatu,176,$1.29 Bn,$985.25 Mn,"$3,846","3,35,169"
Saint Kitts and Nevis,177,$1.13 Bn,$979.22 Mn,"$24,168","46,922"
Saint Vincent and the Grenadines,178,$1.13 Bn,$946.70 Mn,"$11,289","99,924"
Samoa,179,$1.02 Bn,$857.26 Mn,"$4,669","2,19,306"
Sao Tome and Principe,180,$751.00 Mn,$546.76 Mn,"$3,126","2,40,254"
Dominica,181,$708.00 Mn,$612.05 Mn,"$10,748","65,871"
Tonga,182,$581.00 Mn,$488.41 Mn,"$5,600","1,03,742"
Micronesia,183,$484.00 Mn,$427.09 Mn,"$4,257","1,13,683"
Kiribati,184,$311.00 Mn,$223.67 Mn,"$2,279","1,36,488"
Palau,185,$308.00 Mn,$225.66 Mn,"$17,438","17,663"
Marshall Islands,186,$305.00 Mn,$279.67 Mn,"$8,406","36,282"
Nauru,187,$161.00 Mn,$147.95 Mn,"$13,389","12,025"
Tuvalu,188,$66.00 Mn,$59.04 Mn,"$6,953","9,492"
Afghanistan,189,$0,$14.18 Bn,$323,"4,38,44,100"
Bermuda,190,$0,$7.55 Bn,"$116,893","64,555"
British Virgin Islands,191,$0,$1.47 Bn,"$37,029","39,732"
Cayman Islands,192,$0,$6.28 Bn,"$82,816","75,844"
Sri Lanka,193,$0,$76.19 Bn,"$3,280","2,32,29,500"
Cook Islands,194,$0,$289.75 Mn,"$21,846","13,263"
Cuba,195,$0,$147.19 Bn,"$13,458","1,09,37,200"
Eritrea,196,$0,$2.38 Bn,$661,"36,07,000"
French Polynesia,197,$0,$5.81 Bn,"$20,585","2,82,465"
Palestine,198,$0,$19.11 Bn,"$3,419","55,89,620"
Greenland,199,$0,$2.93 Bn,"$52,491","55,745"
North Korea,200,$0,$15.18 Bn,$571,"2,65,71,000"
Lebanon,201,$0,$39.30 Bn,"$6,719","58,49,420"
Liechtenstein,202,$0,$7.76 Bn,"$193,330","40,128"
Monaco,203,$0,$8.77 Bn,"$228,791","38,341"
Montserrat,204,$0,$72.26 Mn,"$16,578","4,359"
Curacao,205,$0,$3.08 Bn,"$16,579","1,85,487"
Sint Maarten,206,$0,$1.57 Bn,"$35,812","43,923"
New Caledonia,207,$0,$9.62 Bn,"$32,585","2,95,333"
Pakistan,208,$0,$326.80 Bn,"$1,280","25,52,20,000"
Anguilla,209,$0,$452.90 Mn,"$30,751","14,728"
Syria,210,$0,$18.60 Bn,$726,"2,56,20,400"
Turks and Caicos Islands,211,$0,$1.14 Bn,"$24,305","46,855"
